日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/10/07,133.50,135.00,133.00,135.0,+2.00,"9,911"
104/10/08,137.00,137.00,135.00,136.0,+1.00,"11,299"
104/10/12,137.00,139.00,136.50,138.5,+2.50,"13,186"
104/10/13,138.50,138.50,136.00,137.5,-1.00,"11,289"
104/10/14,136.50,137.50,136.00,136.5,-1.00,"5,612"
104/10/15,139.00,141.00,139.00,140.0,+3.50,"18,548"
104/10/16,137.00,137.50,136.00,137.5,-2.50,"16,088"
104/10/19,138.50,139.00,137.00,138.0,+0.50,"9,085"
104/10/20,139.00,139.00,137.50,139.0,+1.00,"8,838"
104/10/21,139.50,140.00,137.50,138.5,-0.50,"7,624"
104/10/22,138.00,138.50,137.00,137.5,-1.00,"4,864"
104/10/23,140.00,140.50,139.00,140.0,+2.50,"13,889"
104/10/26,140.50,140.50,139.00,140.0, 0.00,"8,837"
104/10/27,138.50,140.00,137.50,139.0,-1.00,"6,719"
104/10/28,137.00,139.00,137.00,138.0,-1.00,"7,911"
104/10/29,139.00,139.50,136.50,136.5,-1.50,"6,452"
104/10/30,137.00,137.50,136.00,136.5, 0.00,"6,840"
104/11/02,138.50,138.50,135.50,137.5,+1.00,"7,961"
104/11/03,138.50,140.00,138.00,139.5,+2.00,"12,148"
104/11/04,141.50,144.50,141.00,144.5,+5.00,"27,863"
104/11/05,144.00,144.50,142.50,142.5,-2.00,"12,575"
104/11/06,144.00,144.00,139.00,140.0,-2.50,"12,543"
104/11/09,141.00,143.00,140.50,142.0,+2.00,"8,727"
104/11/10,141.50,141.50,139.00,139.5,-2.50,"9,060"
104/11/11,140.50,140.50,136.50,137.5,-2.00,"10,751"
104/11/12,138.50,139.00,138.00,138.5,+1.00,"5,091"
104/11/13,137.50,139.00,136.00,136.0,-2.50,"7,418"
104/11/16,134.00,135.50,134.00,135.0,-1.00,"13,597"
104/11/17,138.00,140.00,137.50,138.5,+3.50,"11,370"
104/11/18,139.50,140.00,136.50,137.0,-1.50,"9,025"
104/11/19,138.50,140.50,138.00,140.5,+3.50,"9,283"
104/11/20,140.50,141.00,140.00,141.0,+0.50,"7,571"
104/11/23,141.00,141.50,140.00,141.0, 0.00,"4,707"
104/11/24,140.00,141.50,139.50,139.5,-1.50,"5,910"
104/11/25,139.50,141.00,138.50,141.0,+1.50,"6,240"
104/11/26,141.00,142.50,140.00,142.5,+1.50,"9,850"
104/11/27,143.00,143.00,139.00,139.0,-3.50,"5,730"
104/11/30,136.50,139.00,136.00,139.0, 0.00,"16,059"
104/12/01,140.50,142.50,138.50,142.5,+3.50,"15,965"
104/12/02,144.00,144.00,142.00,142.5, 0.00,"9,705"
104/12/03,141.50,143.00,141.50,142.5, 0.00,"5,048"
104/12/04,141.00,142.50,140.50,140.5,-2.00,"10,122"
104/12/07,142.00,144.50,142.00,143.5,+3.00,"15,781"
104/12/08,143.50,144.00,141.00,142.5,-1.00,"9,537"
104/12/09,142.00,142.00,140.50,140.5,-2.00,"8,387"
104/12/10,140.50,141.50,139.00,141.0,+0.50,"8,599"
104/12/11,141.00,142.00,139.00,139.5,-1.50,"10,076"
104/12/14,137.50,139.50,137.50,139.0,-0.50,"7,423"
104/12/15,139.50,140.50,138.00,138.0,-1.00,"8,428"
104/12/16,142.00,144.00,141.00,143.5,+5.50,"23,243"
104/12/17,144.50,145.00,143.00,145.0,+1.50,"13,019"
104/12/18,143.00,145.00,142.00,142.0,-3.00,"8,307"
104/12/21,141.50,142.50,140.50,141.5,-0.50,"8,942"
104/12/22,141.00,142.00,140.50,142.0,+0.50,"5,052"
104/12/23,141.00,143.00,140.50,141.5,-0.50,"5,631"
104/12/24,143.00,143.50,142.00,142.0,+0.50,"4,914"
104/12/25,142.00,143.50,142.00,143.0,+1.00,"1,797"
104/12/28,143.50,144.00,143.00,143.5,+0.50,"4,191"
104/12/29,143.50,144.00,141.50,142.0,-1.50,"6,037"
104/12/30,142.50,144.00,142.00,142.5,+0.50,"4,651"
104/12/31,142.00,144.00,141.00,143.0,+0.50,"4,188"
